Notaria 38;;;liquidaciones;;EM1c31s38;29;115;04/04/2026;20/08/2026;;;;;;274;;;;;;;
6660;;BANCO DE BOGOTA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202607572;No;;;;;;;;;
6710;;BANCO DE BOGOTA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202605003;No;;;;;;;;;
6715;;BANCO DE BOGOTA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202605737;No;;;;;;;;;
6227;;BANCOLOMBIA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6469;;BANCO DE BOGOTA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6089;;VENTANILLA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6352;25101922974250;VENTANILLA;;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6060;;VENTANILLA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6696;;VENTANILLA;;;;;Si;18-08-26;18-08-26;00-01-00;19-08-26;202607603;No;;;;;;;;;
6691;;VENTANILLA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6207;;VENTANILLA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6708;;VENTANILLA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202607338;No;;;;;;;;;
5942;;VENTANILLA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6247;;VENTANILLA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6380;;VENTANILLA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6424;;VENTANILLA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202607333;No;;;;;;;;;
6444;;VENTANILLA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202607210;No;;;;;;;;;
6687;;VENTANILLA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202607313;No;;;;;;;;;
6707;;VENTANILLA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202602393;No;;;;;;;;;
6764;;VENTANILLA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202607915;No;;;;;;;;;
6058;;BANCOLOMBIA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6367;;VENTANILLA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6508;26101923965187;BANCO DE BOGOTA;Cundinamarca; felipecobo25@hotmail.com;Enviado;;Si;18-08-26;19-08-26;19-08-26;00-01-00;;No;;;;;;;;;
6363;;BANCO DE BOGOTA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202607036;No;;;;;;;;;
6092;;BANCO DE BOGOTA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6479;;BANCO DE BOGOTA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6159;;BANCO DE BOGOTA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202606125;No;;;;;;;;;
6521;;BANCO DE BOGOTA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202606942;No;;;;;;;;;
6493;;BANCOLOMBIA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6712;;VENTANILLA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202607675;No;;;;;;;;;
6450;;VENTANILLA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202607328;No;;;;;;;;;
6447;;VENTANILLA;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202607377;No;;;;;;;;;
6074;;VENTANILLA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6073;;VENTANILLA;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6505;26101923957454;BANCO DE BOGOTA;;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6263;26101923956796;BANCO DE BOGOTA;;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6483;26101923951704;BANCO DE BOGOTA;;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6673;26101923952003;BANCO DE BOGOTA;;;Enviado;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202607733;No;;;;;;;;;
6592;26101923951654;BANCO DE BOGOTA;;;Enviado;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202605621;No;;;;;;;;;
6600;26101923949441;BANCO DE BOGOTA;;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6577;26101923951287;BANCO DE BOGOTA;;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6538;26101923951221;BANCOLOMBIA;;;Enviado;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202607382;No;;;;;;;;;
6042;26101923950964;VENTANILLA;;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
5304;26101923943395;BANCO DE BOGOTA;;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6754;25101923059364;VENTANILLA;;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6388;26101923951131;VENTANILLA;;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6636;26101923951083;BANCO DE BOGOTA;;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6321;26101923951601;BANCOLOMBIA;;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6449;26101923950095;BANCO DE BOGOTA;Cundinamarca;;Enviado;;Si;18-08-26;18-08-26;19-08-26;19-08-26;202607464;No;;;;;;;;;
5860;26101923918048;VENTANILLA;;;Pendiente;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6571;;;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6426;;;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202607269;No;;;;;;;;;
6466;;;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6634;;;;;;;No;18-08-26;00-01-00;;00-01-00;;;;;;;;;;;
6676;;;;;;;Si;18-08-26;18-08-26;00-01-00;00-01-00;202607704;No;;;;;;;;;
